last_name, first_name,pitcher,n_ff,n_si,n_fc,n_sl,n_ch,n_cu,n_fs,n_kn
Minor, Mike,501985,42.8,0.0,0.0,21.9,19.6,15.7,0.0,0.0
Anderson, Tyler,542881,37.3,10.3,26.2,0.9,24.6,0.6,0.0,0.0
Burnes, Corbin,669203,1.6,9.1,52.2,9.2,9.6,18.3,0.0,0.0
Miley, Wade,489119,16.3,1.2,46.6,5.2,27.3,3.5,0.0,0.0
Davies, Zach,605200,0.0,52.5,7.5,0.6,32.5,6.9,0.0,0.0
Montgomery, Jordan,656756,16.2,21.9,13.8,0.0,24.4,23.7,0.0,0.0
Kikuchi, Yusei,579328,35.7,0.0,34.9,18.9,10.5,0.0,0.0,0.0
Greinke, Zack,425844,40.1,5.7,0.0,15.3,22.4,16.5,0.0,0.0
DeSclafani, Anthony,543101,27.1,18.6,0.0,35.7,10.5,8.1,0.0,0.0
Fried, Max,608331,39.0,11.3,0.0,21.8,2.2,25.7,0.0,0.0
Matz, Steven,571927,0.0,51.9,0.0,8.1,23.4,16.6,0.0,0.0
Walker, Taijuan,592836,35.5,21.7,0.1,21.1,0.0,7.3,14.3,0.0
Skubal, Tarik,669373,42.8,12.9,0.3,22.8,12.1,6.8,2.3,0.0
Gray, Jon,592351,47.6,0.0,0.0,38.1,8.0,6.3,0.0,0.0
Lynn, Lance,458681,42.0,19.4,31.0,0.0,4.6,3.0,0.0,0.0
Garcia, Luis,677651,44.7,0.0,22.4,12.5,11.0,9.4,0.0,0.0
Hill, Rich,448179,47.2,2.4,2.8,6.9,3.0,37.6,0.0,0.0
Yarbrough, Ryan,642232,0.3,13.5,40.1,0.0,28.0,18.0,0.0,0.0
Kelly, Merrill,518876,32.0,18.4,14.1,0.0,17.4,18.1,0.0,0.0
Fedde, Erick,607200,1.3,42.2,22.9,0.0,10.2,23.4,0.0,0.0
Senzatela, Antonio,622608,54.5,1.6,0.0,31.9,6.2,5.8,0.0,0.0
Bassitt, Chris,605135,19.1,35.9,18.1,10.1,10.2,6.5,0.0,0.0
Lester, Jon,452657,31.1,16.7,25.6,0.0,18.2,8.4,0.0,0.0
Taillon, Jameson,592791,49.5,5.5,3.7,16.3,6.0,19.0,0.0,0.0
Mize, Casey,663554,29.3,22.7,0.0,28.1,0.0,6.7,13.2,0.0
Peralta, Freddy,642547,51.7,1.3,0.0,26.5,9.7,10.8,0.0,0.0
Houser, Adrian,605288,13.4,53.8,0.0,7.3,11.1,14.4,0.0,0.0
Keller, Brad,641745,29.7,29.1,0.0,34.8,6.3,0.0,0.0,0.0
Snell, Blake,605483,52.5,0.0,0.0,24.4,9.9,13.3,0.0,0.0
Richards, Garrett,572070,53.1,0.6,0.0,27.4,6.9,12.1,0.0,0.0
Means, John,607644,47.9,0.0,0.0,8.4,27.3,16.4,0.0,0.0
Gonzales, Marco,594835,50.3,0.0,14.3,0.0,20.1,15.4,0.0,0.0
Bumgarner, Madison,518516,33.1,3.2,34.3,0.0,7.8,21.5,0.0,0.0
Singer, Brady,663903,0.3,57.7,0.0,38.2,3.8,0.0,0.0,0.0
Quantrill, Cal,615698,14.7,36.5,25.9,4.7,14.0,4.2,0.0,0.0
Heaney, Andrew,571760,59.4,0.0,0.0,0.9,18.0,21.7,0.0,0.0
Foltynewicz, Mike,592314,29.3,21.8,0.0,23.7,12.7,12.6,0.0,0.0
Harvey, Matt,518774,34.1,20.7,0.0,19.3,11.9,14.0,0.0,0.0
Gray, Sonny,543243,23.8,29.6,5.3,15.6,2.9,22.8,0.0,0.0
Rodón, Carlos,607074,58.7,0.0,0.0,27.2,12.4,1.7,0.0,0.0
Webb, Logan,657277,9.8,37.8,1.1,27.7,23.6,0.0,0.0,0.0
Plesac, Zach,668676,41.7,0.0,0.0,23.1,24.3,10.9,0.0,0.0
Bubic, Kris,663460,52.0,0.0,0.0,0.0,30.8,17.2,0.0,0.0
Wood, Alex,622072,0.0,46.4,0.0,31.6,22.0,0.0,0.0,0.0
Anderson, Ian,666120,47.1,0.3,0.0,0.0,31.4,21.1,0.0,0.0
Crowe, Wil,640444,34.9,11.7,0.0,24.7,18.2,10.5,0.0,0.0
Rogers, Trevor,669432,57.7,0.0,0.0,14.8,27.4,0.0,0.0,0.0
López, Jorge,605347,21.1,35.9,0.0,5.6,13.8,23.7,0.0,0.0
Smyly, Drew,592767,0.0,46.5,11.5,0.0,0.0,42.0,0.0,0.0
Gilbert, Logan,669302,61.5,0.0,0.0,23.6,7.7,7.2,0.0,0.0
Gallen, Zac,668678,53.6,0.4,8.4,8.4,16.7,12.5,0.0,0.0
Valdez, Framber,664285,5.0,52.1,0.0,0.0,12.1,30.8,0.0,0.0
Smith, Caleb,592761,48.1,0.0,0.0,29.6,14.7,7.5,0.0,0.0
Allard, Kolby,663465,46.9,0.4,24.8,0.0,16.8,11.1,0.0,0.0
Ohtani, Shohei,660271,44.1,0.0,12.1,22.0,0.0,3.6,18.3,0.0
Kaprielian, James,621076,52.8,6.0,0.0,17.4,15.7,8.1,0.0,0.0
McKenzie, Triston,663474,61.6,0.0,0.0,19.1,1.3,18.0,0.0,0.0
Gant, John,607231,12.5,36.8,19.7,3.0,22.5,5.6,0.0,0.0
Wacha, Michael,608379,35.9,3.5,24.9,0.0,29.4,6.3,0.0,0.0
Lauer, Eric,641778,43.9,0.0,18.3,12.1,11.3,14.5,0.0,0.0
Alzolay, Adbert,640470,18.5,27.0,6.5,39.8,7.1,1.1,0.0,0.0
McClanahan, Shane,663556,40.9,0.0,0.0,34.7,8.0,16.3,0.0,0.0
Brubaker, JT,664141,24.5,24.6,0.0,34.2,6.3,10.4,0.0,0.0
Mills, Alec,621219,17.3,42.9,0.0,12.6,16.8,10.4,0.0,0.0
Dunning, Dane,641540,0.4,52.3,8.0,22.1,13.0,4.2,0.0,0.0
Civale, Aaron,650644,22.5,10.4,25.0,12.1,0.0,16.2,13.8,0.0
Freeland, Kyle,607536,25.0,15.2,0.0,22.7,17.2,19.9,0.0,0.0
Cueto, Johnny,456501,35.9,15.5,1.5,21.7,23.7,1.7,0.0,0.0
Paddack, Chris,663978,61.5,0.0,0.0,0.0,26.2,12.3,0.0,0.0
Pérez, Martín,527048,13.1,25.3,28.9,0.0,24.3,8.4,0.0,0.0
Keller, Mitch,656605,56.7,0.0,0.0,24.0,4.7,14.5,0.0,0.0
Gomber, Austin,596295,40.7,0.0,0.0,24.3,19.4,15.6,0.0,0.0
Odorizzi, Jake,543606,55.2,0.0,10.3,7.3,0.0,5.2,22.0,0.0
Manoah, Alek,666201,36.3,26.6,0.0,27.8,9.4,0.0,0.0,0.0
Gutierrez, Vladimir,661269,47.2,0.2,0.0,22.8,12.2,17.6,0.0,0.0
Kershaw, Clayton,477132,36.8,0.0,0.0,47.5,0.6,15.1,0.0,0.0
Javier, Cristian,664299,59.4,0.0,0.0,27.0,5.9,7.8,0.0,0.0
Bauer, Trevor,545333,40.2,5.8,21.6,18.6,2.6,11.2,0.0,0.0
Kim, Kwang Hyun,547942,41.0,0.8,0.0,37.6,11.8,8.9,0.0,0.0
Maeda, Kenta,628317,25.9,5.3,0.0,36.7,0.0,3.6,28.5,0.0
Akin, Keegan,669211,57.2,0.0,0.0,19.6,19.5,3.7,0.0,0.0
Velasquez, Vince,592826,49.9,4.4,0.0,13.8,15.3,16.6,0.0,0.0
Arrieta, Jake,453562,0.0,52.7,0.0,23.8,8.1,15.4,0.0,0.0
Espino, Paolo,502179,55.2,0.0,0.0,16.4,4.1,24.2,0.0,0.0
Hearn, Taylor,621368,46.2,21.3,0.2,19.9,12.3,0.0,0.0,0.0
Luzardo, Jesús,666200,32.6,18.4,0.0,0.0,20.2,28.8,0.0,0.0
Pineda, Michael,501381,54.2,0.0,0.0,28.9,16.9,0.0,0.0,0.0
Ross, Joe,605452,16.0,46.6,0.0,31.3,6.1,0.0,0.0,0.0
Ureña, José,570632,16.0,47.3,0.0,23.0,13.6,0.0,0.0,0.0
Stripling, Ross,548389,50.9,0.0,0.0,18.4,15.3,15.4,0.0,0.0
López, Pablo,641154,31.8,12.6,13.5,0.0,32.5,9.6,0.0,0.0
Alexander, Tyler,641302,14.7,21.1,36.3,9.5,18.4,0.1,0.0,0.0
González, Chi Chi,592346,46.5,5.6,9.3,23.9,9.7,5.0,0.0,0.0
Urquidy, José,664353,54.9,0.0,0.0,19.5,18.2,7.4,0.0,0.0
Fleming, Josh,676596,0.5,45.7,27.0,0.0,22.0,4.7,0.0,0.0
Weathers, Ryan,677960,54.1,8.0,0.0,30.6,7.3,0.0,0.0,0.0
Eflin, Zach,621107,12.4,41.6,0.4,24.1,10.7,10.8,0.0,0.0
Suárez, Ranger,624133,22.6,45.5,0.0,7.8,24.1,0.0,0.0,0.0
Germán, Domingo,593334,28.8,14.8,0.0,0.0,22.5,33.9,0.0,0.0
Cobb, Alex,502171,4.5,42.2,0.0,0.0,0.0,16.3,37.0,0.0
Suarez, José,660761,40.7,7.0,0.0,0.0,28.6,23.7,0.0,0.0
Bieber, Shane,669456,35.3,0.0,3.2,25.5,4.7,31.2,0.0,0.0
Peralta, Wily,503449,23.9,31.2,0.0,22.2,0.0,0.0,22.7,0.0
Megill, Tylor,656731,57.6,0.0,0.0,18.6,20.9,2.9,0.0,0.0
Williams, Trevor,592866,48.3,12.1,0.0,20.6,10.0,9.0,0.0,0.0
Cortes, Nestor,641482,42.5,4.1,23.6,20.1,9.7,0.0,0.0,0.0
Bundy, Dylan,605164,34.3,17.3,0.0,21.1,13.7,13.6,0.0,0.0
Anderson, Brett,474463,0.6,45.1,8.2,7.4,25.7,13.1,0.0,0.0
Ynoa, Huascar,660623,44.7,0.5,0.0,48.2,6.6,0.0,0.0,0.0
Ober, Bailey,641927,58.0,0.0,0.0,18.4,13.0,10.6,0.0,0.0
Sheffield, Justus,656954,0.7,46.3,0.0,32.1,20.8,0.0,0.0,0.0
Sandoval, Patrick,663776,24.4,18.7,0.0,17.2,29.6,10.1,0.0,0.0
Kuhl, Chad,641771,25.4,13.0,0.0,46.1,4.3,11.2,0.0,0.0
Hernández, Carlos,672578,55.8,0.0,0.0,16.2,0.0,18.5,9.4,0.0
Manning, Matt,666159,41.3,19.5,0.0,15.2,12.7,11.3,0.0,0.0
Morgan, Eli,669212,48.7,0.0,0.9,23.6,22.8,4.1,0.0,0.0
Jax, Griffin,643377,45.9,0.0,0.0,31.1,14.0,9.0,0.0,0.0
Stratton, Chris,608717,48.1,0.2,0.0,13.7,12.7,25.3,0.0,0.0
Patiño, Luis,672715,60.6,3.2,0.0,26.4,5.0,4.8,0.0,0.0
Shaw, Bryan,543766,1.6,0.0,77.7,10.8,4.2,5.7,0.0,0.0
Hoffman, Jeff,656546,56.0,0.0,0.0,21.0,12.1,10.8,0.0,0.0
Flaherty, Jack,656427,50.6,6.2,0.0,28.3,1.8,13.1,0.0,0.0
Glasnow, Tyler,607192,51.6,0.0,0.0,32.3,2.5,13.5,0.0,0.0
Kluber, Corey,446372,4.6,25.1,27.2,0.0,13.8,29.4,0.0,0.0
Crismatt, Nabil,622503,13.5,11.7,0.0,0.0,51.2,23.6,0.0,0.0
Peacock, Matt,676840,0.2,68.2,0.0,24.5,7.2,0.0,0.0,0.0
Green, Chad,643338,65.2,0.4,0.0,0.0,0.0,34.5,0.0,0.0
Stammen, Craig,489334,0.3,47.6,22.1,0.0,0.5,29.5,0.0,0.0
Martinez, Carlos,593372,27.5,13.8,21.3,22.8,13.5,1.1,0.0,0.0
Boyd, Matthew,571510,41.9,5.6,0.0,22.4,22.5,7.6,0.0,0.0
Hentges, Sam,656529,41.5,9.2,0.0,23.9,0.5,24.9,0.0,0.0
Lynch, Daniel,663738,40.5,11.9,0.0,28.6,16.3,2.7,0.0,0.0
Moore, Matt,519043,57.1,0.0,8.4,0.0,19.2,15.3,0.0,0.0
Reyes, Alex,621052,30.7,23.8,0.0,28.0,9.0,8.4,0.0,0.0
Neris, Héctor,593576,36.8,19.0,0.0,3.5,0.0,0.0,40.6,0.0
Luetge, Lucas,476595,0.1,0.0,62.0,22.7,0.0,15.2,0.0,0.0
Quintana, José,500779,40.8,17.8,0.0,0.0,14.6,26.8,0.0,0.0
Mayers, Mike,594577,37.9,0.0,30.3,31.6,0.2,0.1,0.0,0.0
Gallegos, Giovanny,606149,52.8,0.0,0.0,42.6,4.6,0.0,0.0,0.0
Cishek, Steve,518553,19.4,41.3,0.0,39.0,0.2,0.0,0.0,0.0
Castro, Miguel,612434,0.0,42.8,0.0,35.3,22.0,0.0,0.0,0.0
deGrom, Jacob,594798,57.4,0.0,0.0,33.4,8.9,0.3,0.0,0.0
Guerra, Junior,448855,17.6,38.4,0.0,12.1,0.0,16.1,15.8,0.0
Barlow, Scott,605130,33.1,0.2,0.0,46.4,0.0,20.3,0.0,0.0
Suter, Brent,608718,72.5,4.3,0.0,0.0,9.4,13.8,0.0,0.0
Bard, Daniel,453268,33.9,14.6,0.0,46.1,5.4,0.0,0.0,0.0
Widener, Taylor,642203,66.5,0.0,0.1,17.4,16.0,0.0,0.0,0.0
Gray, Josiah,680686,51.6,0.0,0.0,19.8,3.3,25.3,0.0,0.0
Stephan, Trevor,663986,59.8,0.0,0.0,32.1,0.0,0.0,8.1,0.0
Finnegan, Kyle,640448,0.0,68.4,0.0,19.4,0.0,0.0,12.2,0.0
Rasmussen, Drew,656876,65.1,0.2,0.1,30.0,2.2,2.6,0.0,0.0
Cabrera, Génesis,650893,45.0,19.2,0.0,0.0,16.9,18.9,0.0,0.0
Thompson, Zach,605507,27.1,8.2,35.1,0.0,12.7,16.9,0.0,0.0
Funkhouser, Kyle,608335,21.8,40.3,0.0,30.2,7.7,0.0,0.0,0.0
Robles, Hansel,570663,55.1,0.7,0.0,14.4,29.7,0.1,0.0,0.0
Fulmer, Michael,605242,17.3,28.2,0.0,40.0,11.2,3.2,0.0,0.0
Price, David,456034,18.2,34.6,20.2,0.0,25.0,2.0,0.0,0.0
Underwood Jr., Duane,621249,36.1,10.1,0.8,0.8,27.3,24.9,0.0,0.0
Trivino, Lou,642152,26.4,32.7,17.0,0.0,12.4,11.5,0.0,0.0
Maton, Phil,664208,49.1,0.0,7.3,19.2,0.0,24.4,0.0,0.0
Stanek, Ryne,592773,59.7,0.0,0.0,18.5,0.0,0.0,21.8,0.0
Woodford, Jake,663765,22.4,36.8,0.0,22.5,5.8,12.5,0.0,0.0
Whitlock, Garrett,676477,9.5,53.4,0.0,16.5,20.6,0.0,0.0,0.0
Houck, Tanner,656557,38.6,17.0,0.0,37.1,0.0,0.0,7.4,0.0
Ottavino, Adam,493603,20.7,27.5,1.7,46.4,1.7,2.1,0.0,0.0
Kinley, Tyler,641755,43.0,0.3,0.0,52.1,4.1,0.4,0.0,0.0
Wilson, Bryse,669060,44.5,19.2,0.0,5.0,19.8,11.5,0.0,0.0
Soto, Gregory,642397,7.3,55.1,0.0,37.6,0.0,0.0,0.0,0.0
Rogers, Tyler,643511,53.1,4.2,0.0,42.8,0.0,0.0,0.0,0.0
Kopech, Michael,656629,64.4,0.0,0.0,29.6,2.6,3.5,0.0,0.0
Holmes, Clay,605280,0.0,59.0,0.0,27.7,0.0,13.3,0.0,0.0
Peterson, David,656849,29.9,28.7,0.0,24.4,16.3,0.6,0.0,0.0
Diekman, Jake,518617,57.2,9.7,0.0,32.3,0.8,0.0,0.0,0.0
May, Trevor,543507,60.3,0.0,0.0,24.5,15.2,0.0,0.0,0.0
Weaver, Luke,596133,61.9,0.1,6.1,0.0,30.0,1.9,0.0,0.0
Brentz, Jake,641394,58.6,0.9,0.0,27.9,12.7,0.0,0.0,0.0
Thielbar, Caleb,573204,49.0,0.0,0.0,34.4,0.3,16.3,0.0,0.0
Zimmermann, Bruce,669145,42.2,0.0,0.0,18.7,25.8,13.3,0.0,0.0
Hendriks, Liam,521230,68.9,0.0,0.0,21.3,0.1,9.7,0.0,0.0
Sewald, Paul,623149,58.3,0.0,0.0,41.6,0.1,0.0,0.0,0.0
Colomé, Alex,517008,29.5,0.0,70.5,0.0,0.0,0.0,0.0,0.0
Pagán, Emilio,641941,61.2,0.0,37.7,0.0,1.1,0.0,0.0,0.0
Staumont, Josh,622251,44.1,21.3,0.0,0.0,0.0,34.7,0.0,0.0
Treinen, Blake,595014,7.5,27.4,30.0,35.1,0.1,0.0,0.0,0.0
Hembree, Heath,592390,52.3,0.0,0.0,47.2,0.0,0.5,0.0,0.0
Guerra, Deolis,500610,37.6,7.9,0.0,14.2,30.9,9.4,0.0,0.0
Oviedo, Johan,670912,53.3,0.4,0.0,23.7,10.8,11.9,0.0,0.0
Loáisiga, Jonathan,642528,3.9,54.9,0.0,2.4,18.4,20.4,0.0,0.0
Petit, Yusmeiro,433589,45.4,0.0,23.4,0.0,17.7,13.6,0.0,0.0
Canning, Griffin,656288,40.8,0.0,0.0,26.9,21.2,11.1,0.0,0.0
Sborz, Josh,622250,54.5,0.0,0.0,29.4,0.0,16.1,0.0,0.0
Smith, Will,519293,47.3,0.0,0.0,41.1,0.0,11.6,0.0,0.0
Hand, Brad,543272,40.2,17.2,0.0,42.6,0.0,0.0,0.0,0.0
Floro, Dylan,571670,30.7,32.2,0.0,13.1,24.1,0.0,0.0,0.0
Boxberger, Brad,502202,56.0,0.0,0.0,23.8,20.2,0.0,0.0,0.0
Smith, Riley,642092,0.5,57.3,10.0,4.5,17.0,10.7,0.0,0.0
Jansen, Kenley,445276,0.0,26.6,58.0,15.4,0.0,0.0,0.0,0.0
Sulser, Cole,642121,51.1,0.0,0.0,13.5,33.2,2.2,0.0,0.0
Chacín, Jhoulys,468504,9.5,32.1,0.0,19.7,3.5,35.2,0.0,0.0
Cisnero, José,542585,40.4,25.6,0.0,28.0,6.0,0.0,0.0,0.0
Matzek, Tyler,554431,70.7,0.0,0.0,26.8,0.0,2.5,0.0,0.0
Shoemaker, Matt,533167,24.4,16.5,0.0,24.5,0.0,1.2,33.3,0.0
Santana, Ervin,429722,45.1,0.0,0.0,51.6,3.3,0.0,0.0,0.0
Richards, Trevor,670950,56.8,0.0,0.0,0.0,29.6,13.6,0.0,0.0
Iglesias, Raisel,628452,34.9,9.6,0.0,30.8,24.6,0.0,0.0,0.0
Jackson, Luke,592426,35.6,0.0,0.0,53.3,0.0,11.1,0.0,0.0
Melancon, Mark,453343,2.8,0.0,62.7,0.0,0.0,34.5,0.0,0.0
Heuer, Codi,676051,56.1,0.0,0.0,23.2,20.7,0.0,0.0,0.0
Alvarado, José,621237,3.2,77.2,16.3,0.0,0.0,3.3,0.0,0.0
Johnson, Pierce,572955,32.5,0.0,0.0,0.0,0.0,67.5,0.0,0.0
Romo, Sergio,489265,2.0,31.4,0.0,55.7,10.9,0.0,0.0,0.0
Clase, Emmanuel,661403,0.9,0.0,69.4,29.8,0.0,0.0,0.0,0.0
Tate, Dillon,622253,1.1,59.5,22.8,0.8,15.8,0.0,0.0,0.0
Ruiz, José,614179,59.5,0.0,0.0,1.2,3.7,35.7,0.0,0.0
Scott, Tanner,656945,45.4,3.0,0.0,51.6,0.0,0.0,0.0,0.0
Romano, Jordan,605447,62.3,1.0,0.0,36.8,0.0,0.0,0.0,0.0
Cimber, Adam,643256,32.3,35.6,0.0,32.1,0.0,0.0,0.0,0.0
Voth, Austin,608723,59.5,0.0,13.6,0.0,0.0,26.6,0.3,0.0
Wittgren, Nick,621295,56.0,0.6,9.7,10.6,23.1,0.0,0.0,0.0
Familia, Jeurys,544727,14.4,59.1,0.0,23.5,0.0,0.0,3.0,0.0
Plutko, Adam,592644,49.9,0.0,32.9,10.2,0.0,7.0,0.0,0.0
Duffy, Danny,518633,42.8,12.8,0.0,18.2,15.4,10.8,0.0,0.0
King, Michael,650633,8.8,53.0,15.4,10.2,12.5,0.1,0.0,0.0
Duffey, Tyler,608648,46.5,4.4,0.0,0.0,0.0,49.1,0.0,0.0
Steckenrider, Drew,608716,65.9,0.0,0.0,0.0,15.9,18.3,0.0,0.0
Estévez, Carlos,608032,65.8,0.0,0.0,14.9,19.3,0.0,0.0,0.0
Karinchak, James,675916,68.1,0.0,0.0,0.0,0.0,31.9,0.0,0.0
Chapman, Aroldis,547973,56.6,5.7,0.0,26.7,0.0,0.0,11.1,0.0
García, Jarlín,606424,50.0,0.0,0.0,25.4,24.6,0.0,0.0,0.0
Díaz, Edwin,621242,61.6,0.6,0.0,37.8,0.0,0.0,0.0,0.0
Brothers, Rex,571521,65.5,0.0,0.0,34.5,0.0,0.0,0.0,0.0
Holland, Greg,518813,40.3,0.0,0.0,48.3,0.0,11.3,0.0,0.0
Williams, Devin,642207,33.5,1.2,1.4,0.0,63.8,0.0,0.0,0.0
Littell, Zack,641793,57.8,0.0,0.0,37.2,0.0,0.0,5.0,0.0
Gonsolin, Tony,664062,43.6,0.0,0.0,25.9,0.0,8.8,21.7,0.0
Norris, Daniel,596057,47.5,0.0,0.0,22.5,30.1,0.0,0.0,0.0
Feyereisen, J.P.,656420,51.5,0.1,0.0,28.6,19.9,0.0,0.0,0.0
Kimbrel, Craig,518886,59.3,0.0,0.0,0.0,0.0,40.7,0.0,0.0
Kremer, Dean,665152,55.7,0.0,21.0,0.0,7.5,15.8,0.0,0.0
Mejía, J.C.,650496,16.1,42.2,0.0,23.7,11.5,6.5,0.0,0.0
Kittredge, Andrew,552640,10.5,44.0,0.0,45.1,0.4,0.0,0.0,0.0
Strickland, Hunter,519326,51.3,5.8,0.0,40.8,2.1,0.0,0.0,0.0
Bender, Anthony,669622,1.2,51.8,0.0,46.2,0.7,0.0,0.0,0.0
McHugh, Collin,543521,10.9,0.0,33.0,52.9,0.1,3.1,0.0,0.0
Alvarez, Jose,501625,12.3,45.7,3.8,10.2,28.0,0.0,0.0,0.0
Thompson, Keegan,624522,45.3,2.3,27.2,0.0,2.2,23.0,0.0,0.0
Steele, Justin,657006,45.4,20.4,0.0,16.5,2.1,15.6,0.0,0.0
Hader, Josh,623352,0.1,65.4,0.0,27.8,6.7,0.0,0.0,0.0
Adams, Austin,613534,12.9,0.0,0.0,87.1,0.0,0.0,0.0,0.0
Hill, Tim,657612,47.3,37.1,0.0,15.3,0.2,0.0,0.0,0.0
Watkins, Spenser,657093,46.5,0.0,31.0,0.0,6.0,16.5,0.0,0.0
Bass, Anthony,542914,7.3,41.9,0.0,49.9,0.0,0.0,0.8,0.0
Pressly, Ryan,519151,39.5,0.2,0.0,35.8,0.0,24.5,0.0,0.0
Bummer, Aaron,607481,0.0,62.0,7.8,29.6,0.6,0.0,0.0,0.0
Cessa, Luis,570666,21.1,10.2,0.0,56.7,12.0,0.0,0.0,0.0
Tepera, Ryan,572193,33.2,10.9,0.0,44.9,10.4,0.5,0.0,0.0
Chafin, Andrew,605177,28.9,44.6,0.0,26.4,0.1,0.0,0.0,0.0
Sawamura, Hirokazu,617228,45.5,0.0,0.0,15.2,0.0,0.0,39.3,0.0
Rodríguez, Richard,593144,86.1,0.0,0.0,13.9,0.0,0.0,0.0,0.0
Garcia, Yimi,554340,39.3,6.3,0.0,29.8,6.4,18.2,0.0,0.0
López, Reynaldo,625643,57.9,0.0,0.0,33.8,3.7,4.6,0.0,0.0
Castillo, Diego,650895,4.0,29.6,0.0,66.5,0.0,0.0,0.0,0.0
Howard, Spencer,675921,63.0,0.6,13.6,5.4,9.0,8.3,0.0,0.0
Pop, Zach,647315,1.4,66.3,0.0,32.3,0.0,0.0,0.0,0.0
Shreve, Chasen,592741,40.2,0.0,0.0,22.9,0.0,0.0,36.9,0.0
Bednar, David,670280,55.8,0.0,0.0,0.0,0.0,23.6,20.7,0.0
Zimmer, Kyle,622092,50.4,0.3,0.0,36.8,2.2,10.2,0.0,0.0
Brogdon, Connor,641401,44.9,0.3,19.2,0.0,35.6,0.0,0.0,0.0
Bradley, Archie,605151,46.7,23.8,0.0,0.0,14.0,15.5,0.0,0.0
Barnes, Matt,598264,49.8,0.0,0.0,0.0,1.7,48.4,0.0,0.0
Martin, Brett,656685,24.1,30.3,0.0,24.5,0.0,21.1,0.0,0.0
Barría, Jaime,642545,36.3,18.9,0.0,36.4,8.4,0.0,0.0,0.0
Crochet, Garrett,676979,64.3,0.0,0.0,27.9,7.9,0.0,0.0,0.0
Young, Alex,622065,13.9,25.4,22.6,0.0,19.1,19.0,0.0,0.0
de Geus, Brett,676969,0.9,55.1,24.9,0.0,0.0,19.1,0.0,0.0
Santana, Dennis,642701,5.9,42.2,0.0,28.7,20.6,2.5,0.0,0.0
