last_name, first_name,pitcher,n_ff,n_si,n_fc,n_sl,n_ch,n_cu,n_fs,n_kn
Montgomery, Jordan,656756,19.0,26.6,6.7,0.0,25.6,22.1,0.0,0.0
Brault, Steven,643230,43.6,7.1,0.0,22.5,24.3,2.5,0.0,0.0
Means, John,607644,52.3,0.0,0.0,10.3,24.7,12.6,0.0,0.0
Arrieta, Jake,453562,0.4,52.1,0.0,23.2,17.0,7.3,0.0,0.0
Flaherty, Jack,656427,44.2,11.4,0.0,28.7,2.1,13.6,0.0,0.0
Holland, Derek,502706,3.2,43.5,0.0,0.0,16.0,37.3,0.0,0.0
Bumgarner, Madison,518516,38.9,0.6,36.6,0.0,1.3,22.7,0.0,0.0
Gonsolin, Tony,664062,47.5,0.0,0.0,16.7,0.0,6.0,29.8,0.0
Clarke, Taylor,664199,45.5,0.0,0.0,27.0,16.9,10.5,0.0,0.0
Milone, Tommy,543548,43.3,2.4,0.0,11.2,39.0,4.0,0.0,0.0
Margevicius, Nick,676606,64.1,0.0,0.0,15.9,8.5,11.5,0.0,0.0
Wojciechowski, Asher,592879,46.1,0.0,17.7,21.5,5.2,9.5,0.0,0.0
Musgrove, Joe,605397,26.9,11.9,6.4,24.2,10.7,19.9,0.0,0.0
Alcantara, Sandy,645261,24.8,34.9,0.0,22.1,10.3,8.0,0.0,0.0
Morton, Charlie,450203,35.5,20.9,8.8,0.0,0.0,32.7,2.1,0.0
Allard, Kolby,663465,46.5,0.0,30.9,0.0,12.5,10.2,0.0,0.0
Gray, Jon,592351,48.3,1.1,0.0,29.2,13.1,8.4,0.0,0.0
Anderson, Chase,502624,33.9,6.4,20.1,0.0,23.5,16.1,0.0,0.0
Velasquez, Vince,592826,52.0,5.4,0.0,12.0,14.5,16.2,0.0,0.0
Clevinger, Mike,605182,39.9,0.0,6.9,32.4,8.3,12.5,0.0,0.0
Ponce de Leon, Daniel,594965,61.1,0.0,13.3,0.0,3.9,21.7,0.0,0.0
Weber, Ryan,543901,0.3,50.9,9.3,16.0,17.8,5.7,0.0,0.0
Wright, Kyle,657140,15.1,33.2,0.0,24.2,14.4,13.1,0.0,0.0
López, Jorge,605347,21.6,38.3,0.0,0.0,9.3,30.9,0.0,0.0
Matz, Steven,571927,0.0,53.7,0.0,4.7,26.5,15.0,0.0,0.0
González, Gio,461829,32.8,13.9,0.0,1.3,32.8,19.1,0.0,0.0
Kim, Kwang Hyun,547942,48.7,0.0,0.0,31.2,8.5,11.6,0.0,0.0
Lugo, Seth,607625,32.6,22.3,0.0,15.1,10.7,19.3,0.0,0.0
Wacha, Michael,608379,40.4,2.0,27.3,0.0,29.2,1.1,0.0,0.0
Lorenzen, Michael,547179,33.2,7.7,17.3,17.4,17.8,6.6,0.0,0.0
Hill, Rich,448179,45.3,2.7,3.7,3.8,0.5,44.0,0.0,0.0
DeSclafani, Anthony,543101,33.2,18.1,0.0,32.4,7.0,9.3,0.0,0.0
Buehler, Walker,621111,53.8,8.7,14.2,7.3,0.0,16.0,0.0,0.0
Alexander, Tyler,641302,20.5,23.4,17.2,20.9,18.0,0.0,0.0,0.0
Sandoval, Patrick,663776,44.6,0.0,0.0,25.1,22.9,7.4,0.0,0.0
Bielak, Brandon,656232,49.4,0.2,13.4,11.2,17.4,8.4,0.0,0.0
Antone, Tejay,622088,0.0,42.3,0.0,40.5,1.2,16.0,0.0,0.0
Skubal, Tarik,669373,58.9,0.0,1.2,15.7,16.4,7.8,0.0,0.0
Hudson, Dakota,641712,22.6,36.3,0.0,20.2,2.2,18.7,0.0,0.0
Tomlin, Josh,458708,18.4,0.5,51.0,0.0,4.0,26.1,0.0,0.0
Richards, Trevor,670950,51.0,0.0,0.0,0.0,31.3,17.7,0.0,0.0
Teheran, Julio,527054,26.2,33.2,0.0,18.0,12.1,10.5,0.0,0.0
Anderson, Ian,666120,46.9,1.4,0.0,0.0,30.8,20.8,0.0,0.0
Dunning, Dane,641540,18.4,42.4,0.0,21.7,10.7,6.8,0.0,0.0
Rogers, Trevor,669432,54.2,5.8,0.0,21.8,18.1,0.0,0.0,0.0
Sánchez, Sixto,664350,23.8,24.0,17.2,8.4,26.7,0.0,0.0,0.0
Godley, Zack,643327,6.1,8.1,37.4,0.0,10.1,38.2,0.0,0.0
McKenzie, Triston,663474,53.3,0.0,0.0,20.2,10.0,16.5,0.0,0.0
Stratton, Chris,608717,46.4,0.0,0.0,26.7,9.9,17.0,0.0,0.0
Mize, Casey,663554,25.4,26.9,19.7,0.0,0.0,10.1,17.9,0.0
Mazza, Chris,607391,16.9,22.1,29.9,27.9,3.2,0.0,0.0,0.0
García, Deivi,665620,59.6,0.0,0.0,9.0,16.9,14.5,0.0,0.0
Eshelman, Thomas,664045,24.0,20.2,0.0,25.5,12.3,18.0,0.0,0.0
Fulmer, Michael,605242,24.4,37.7,0.0,23.3,9.7,4.9,0.0,0.0
Gomber, Austin,596295,52.5,0.0,0.0,15.8,7.4,24.3,0.0,0.0
Cisnero, José,542585,58.4,4.8,0.0,28.1,8.7,0.0,0.0,0.0
Suter, Brent,608718,71.5,7.8,0.0,0.0,13.6,7.2,0.0,0.0
Mayers, Mike,594577,33.6,0.0,24.2,39.6,0.0,2.5,0.0,0.0
Barría, Jaime,642545,30.7,12.1,0.0,45.8,11.4,0.0,0.0,0.0
Valdez, Phillips,570488,0.0,45.2,0.0,5.9,48.9,0.0,0.0,0.0
Barlow, Scott,605130,37.1,0.2,0.0,41.2,0.0,21.5,0.0,0.0
Brewer, Colten,605155,1.4,0.8,43.9,20.8,0.4,32.8,0.0,0.0
Quantrill, Cal,615698,6.5,47.4,0.0,35.3,10.7,0.0,0.0,0.0
López, Reynaldo,625643,50.3,0.0,0.0,24.3,20.7,4.8,0.0,0.0
Yamaguchi, Shun,685493,40.9,0.0,0.0,17.2,0.0,2.4,39.5,0.0
Akin, Keegan,669211,62.0,0.0,0.0,10.2,17.4,10.4,0.0,0.0
Andriese, Matt,542882,36.8,6.4,8.2,0.0,36.8,11.8,0.0,0.0
Hernández, Jonathan,642546,0.2,47.1,0.0,39.8,12.9,0.0,0.0,0.0
Peralta, Freddy,642547,73.5,0.0,0.0,4.8,0.0,21.6,0.0,0.0
Toussaint, Touki,657053,36.0,5.1,0.0,9.6,0.0,28.9,20.4,0.0
Fairbanks, Pete,664126,57.3,1.8,0.0,40.8,0.0,0.0,0.0,0.0
Norris, Daniel,596057,47.6,0.0,0.0,21.6,30.6,0.2,0.0,0.0
Dayton, Grant,594795,60.0,2.9,0.0,0.0,0.4,36.7,0.0,0.0
Peralta, Wandy,593974,22.5,12.9,0.0,33.2,31.4,0.0,0.0,0.0
Jackson, Luke,592426,35.7,0.0,1.2,43.6,0.0,19.5,0.0,0.0
Matzek, Tyler,554431,61.9,0.0,9.5,20.9,0.0,7.7,0.0,0.0
Díaz, Edwin,621242,60.9,1.0,0.2,37.7,0.2,0.0,0.0,0.0
Smyly, Drew,592767,0.6,45.0,17.8,0.0,0.0,36.5,0.0,0.0
Castro, Miguel,612434,0.0,50.1,0.0,31.2,18.7,0.0,0.0,0.0
Castano, Daniel,641447,39.0,15.0,0.0,25.7,20.3,0.0,0.0,0.0
Kelly, Merrill,518876,24.7,17.5,20.1,0.0,15.4,22.2,0.0,0.0
Staumont, Josh,622251,66.5,5.9,0.0,0.0,0.0,27.5,0.0,0.0
King, Michael,650633,4.9,60.6,0.0,0.4,15.1,18.9,0.0,0.0
Lakins Sr., Travis,664042,33.6,0.0,40.9,0.0,3.2,22.3,0.0,0.0
Fleming, Josh,676596,0.9,53.4,29.4,0.0,15.5,0.9,0.0,0.0
Karinchak, James,675916,50.2,0.0,0.0,0.0,0.0,49.8,0.0,0.0
Sims, Lucas,608371,48.1,0.0,0.0,20.0,1.5,30.4,0.0,0.0
Erlin, Robbie,572362,55.7,0.9,0.0,0.0,16.1,27.3,0.0,0.0
Peña, Félix,570240,6.5,42.0,0.0,30.4,21.1,0.0,0.0,0.0
Rogers, Tyler,643511,52.0,11.8,0.0,36.2,0.0,0.0,0.0,0.0
Cahill, Trevor,502239,10.1,25.0,12.3,0.0,29.6,23.0,0.0,0.0
Barnes, Matt,598264,54.1,0.0,0.0,0.0,0.0,43.1,2.9,0.0
Familia, Jeurys,544727,14.3,45.7,0.0,29.7,0.0,0.2,10.1,0.0
Pineda, Michael,501381,50.1,0.0,0.0,38.5,11.4,0.0,0.0,0.0
Hernandez, Elieser,622694,58.9,0.0,0.0,35.1,6.0,0.0,0.0,0.0
Wisler, Matt,605538,16.6,0.0,0.0,83.4,0.0,0.0,0.0,0.0
Holland, Greg,518813,37.4,0.0,0.0,50.6,0.4,11.6,0.0,0.0
Plutko, Adam,592644,50.2,0.0,30.5,2.7,4.5,12.1,0.0,0.0
Shoemaker, Matt,533167,18.6,25.6,0.0,18.4,0.0,4.9,32.5,0.0
Almonte, Yency,622075,39.5,3.4,0.0,44.8,12.3,0.0,0.0,0.0
Jansen, Kenley,445276,0.0,28.5,61.9,9.6,0.0,0.0,0.0,0.0
Oviedo, Johan,670912,56.1,0.0,0.0,29.7,3.8,10.4,0.0,0.0
Hatch, Thomas,641672,47.2,7.0,20.6,0.0,25.2,0.0,0.0,0.0
Howard, Spencer,675921,56.5,0.0,21.2,0.5,15.9,5.9,0.0,0.0
Estévez, Carlos,608032,61.5,0.0,0.0,26.1,12.4,0.0,0.0,0.0
Foster, Matt,641582,57.1,0.2,0.0,9.2,33.5,0.0,0.0,0.0
Williams, Devin,642207,43.6,0.2,3.5,0.0,52.7,0.0,0.0,0.0
Urquidy, José,664353,54.5,0.0,0.0,13.1,20.5,11.9,0.0,0.0
Buttrey, Ty,621142,58.2,0.0,0.0,22.2,19.6,0.0,0.0,0.0
Wendelken, J.B.,605525,47.5,10.5,0.0,26.2,7.3,8.4,0.0,0.0
Smith, Josh A.,595001,19.0,15.7,0.0,34.5,2.6,28.2,0.0,0.0
Green, Chad,643338,74.6,0.5,0.0,0.0,0.0,24.9,0.0,0.0
Cordero, Jimmy,622772,9.2,59.0,2.8,15.1,10.8,3.1,0.0,0.0
Brasier, Ryan,518489,58.3,3.8,0.0,33.0,5.0,0.0,0.0,0.0
Shreve, Chasen,592741,51.2,0.0,0.0,8.1,0.0,0.0,40.8,0.0
Ramirez, Yohan,670990,60.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0
Finnegan, Kyle,640448,0.2,70.2,0.0,20.8,0.0,0.0,8.8,0.0
Thompson, Ryan,657044,9.1,51.8,0.0,38.4,0.7,0.0,0.0,0.0
Clippard, Tyler,461325,18.3,19.7,0.0,0.0,34.6,7.0,20.4,0.0
Sulser, Cole,642121,57.7,0.0,0.0,16.6,25.7,0.0,0.0,0.0
Givens, Mychal,571710,64.8,0.2,0.0,14.2,20.7,0.0,0.0,0.0
Dolis, Rafael,503569,0.5,60.6,0.0,20.3,0.0,0.0,18.6,0.0
Zuber, Tyler,676604,44.4,0.0,0.0,37.4,10.2,8.0,0.0,0.0
Hughes, Jared,453172,7.8,51.5,0.0,0.0,14.3,26.5,0.0,0.0
May, Trevor,543507,47.7,4.1,0.0,32.6,15.6,0.0,0.0,0.0
Hunter, Tommy,488984,2.0,41.7,33.2,0.0,0.0,23.2,0.0,0.0
Yardley, Eric,642233,0.0,65.1,0.0,0.0,0.7,34.1,0.0,0.0
Kay, Anthony,641743,56.5,0.0,2.2,0.0,18.1,23.2,0.0,0.0
Hartlieb, Geoff,664129,2.2,51.6,0.0,45.5,0.7,0.0,0.0,0.0
Harper, Ryne,607560,37.6,0.0,0.0,50.4,0.7,11.3,0.0,0.0
Scrubb, Andre,668687,0.0,0.0,52.6,0.5,0.0,46.9,0.0,0.0
Springs, Jeffrey,605488,46.9,0.0,0.0,27.2,25.9,0.0,0.0,0.0
Guerra, Junior,448855,33.2,27.5,0.0,0.0,0.0,21.8,17.6,0.0
Bard, Daniel,453268,43.6,12.9,0.0,30.9,12.6,0.0,0.0,0.0
Alcala, Jorge,660896,46.4,0.0,0.0,44.7,8.9,0.0,0.0,0.0
Martinez, Carlos,593372,35.6,14.7,1.0,26.9,20.6,1.2,0.0,0.0
Crichton, Stefan,592233,1.2,60.7,0.0,0.0,1.0,37.1,0.0,0.0
Neris, Héctor,593576,42.6,9.3,0.0,0.0,0.0,0.0,48.1,0.0
Hoffman, Jeff,656546,54.6,0.0,0.0,0.0,27.3,18.0,0.0,0.0
Greene, Shane,572888,1.8,37.7,25.6,21.9,13.1,0.0,0.0,0.0
Cabrera, Génesis,650893,50.4,6.0,0.0,0.0,13.1,30.5,0.0,0.0
Waguespack, Jacob,621097,43.8,8.3,18.1,0.0,18.9,10.8,0.0,0.0
Holder, Jonathan,656547,52.4,0.0,9.8,10.1,24.2,3.5,0.0,0.0
Minter, A.J.,621345,38.8,0.0,42.6,0.0,18.6,0.0,0.0,0.0
Ureña, José,570632,18.9,41.7,0.0,32.3,7.1,0.0,0.0,0.0
Treinen, Blake,595014,9.1,55.8,8.8,26.3,0.0,0.0,0.0,0.0
Workman, Brandon,519443,26.3,0.0,34.2,0.0,0.0,39.5,0.0,0.0
Ynoa, Huascar,660623,44.1,0.3,0.0,46.6,9.1,0.0,0.0,0.0
Loáisiga, Jonathan,642528,42.6,24.6,0.0,0.0,15.2,17.5,0.0,0.0
Soto, Gregory,642397,4.6,75.1,0.0,20.3,0.0,0.0,0.0,0.0
Junis, Jakob,596001,34.8,14.7,0.0,46.2,4.3,0.0,0.0,0.0
García, Rony,665621,63.1,0.0,0.0,21.4,13.5,2.0,0.0,0.0
Rodríguez, Richard,593144,71.9,0.5,0.0,27.6,0.0,0.0,0.0,0.0
Rondón, Héctor,444468,49.0,10.5,0.0,36.9,3.6,0.0,0.0,0.0
Cole, A.J.,595918,34.4,0.0,9.7,45.4,7.9,2.6,0.0,0.0
Jiménez, Joe,641729,62.2,0.0,0.0,30.6,7.2,0.0,0.0,0.0
Benjamin, Wes,605138,49.4,0.8,23.4,0.0,12.1,14.4,0.0,0.0
Alzolay, Adbert,640470,31.5,20.7,0.0,6.7,8.0,33.1,0.0,0.0
Newberry, Jake,623470,45.2,0.0,0.0,51.2,3.6,0.0,0.0,0.0
Slegers, Aaron,642083,21.7,38.5,0.0,30.2,9.6,0.0,0.0,0.0
Bass, Anthony,542914,1.8,53.2,0.0,39.0,0.0,0.0,6.0,0.0
Keller, Mitch,656605,55.7,0.0,0.0,21.9,3.1,19.3,0.0,0.0
Curtiss, John,595928,55.7,0.8,0.0,43.5,0.0,0.0,0.0,0.0
Marshall, Evan,605359,19.8,9.4,0.0,0.0,39.2,31.6,0.0,0.0
Rosenthal, Trevor,572096,67.5,3.7,0.0,20.5,8.4,0.0,0.0,0.0
Suero, Wander,593833,0.0,0.0,81.1,0.0,13.6,5.2,0.0,0.0
Maton, Phil,664208,46.4,1.6,31.7,0.0,0.0,20.3,0.0,0.0
Hudson, Daniel,543339,75.9,0.0,0.0,16.7,5.6,1.9,0.0,0.0
Soria, Joakim,465657,65.3,0.3,0.5,20.2,9.0,4.8,0.0,0.0
Stammen, Craig,489334,6.9,58.6,20.7,0.0,1.6,12.2,0.0,0.0
Wittgren, Nick,621295,60.5,0.3,3.7,11.4,24.1,0.0,0.0,0.0
Fry, Paul,643316,53.2,0.0,0.0,45.7,1.1,0.0,0.0,0.0
Nelson, Nick,656793,57.2,0.0,0.0,12.3,24.6,5.9,0.0,0.0
Heuer, Codi,676051,65.8,0.0,0.0,24.9,9.4,0.0,0.0,0.0
Cishek, Steve,518553,2.7,44.9,0.0,51.3,1.1,0.0,0.0,0.0
Turley, Nik,543867,55.5,0.0,0.0,0.0,0.0,44.5,0.0,0.0
Zimmer, Kyle,622092,48.0,0.0,0.0,34.3,3.8,13.9,0.0,0.0
Hader, Josh,623352,0.0,67.7,0.0,32.3,0.0,0.0,0.0,0.0
Thielbar, Caleb,573204,54.4,0.0,3.8,16.4,0.0,25.3,0.0,0.0
Kinley, Tyler,641755,33.4,0.0,0.0,59.8,6.7,0.0,0.0,0.0
Floro, Dylan,571670,4.0,42.9,0.0,31.5,21.6,0.0,0.0,0.0
Trivino, Lou,642152,30.0,28.9,23.8,0.0,6.8,10.5,0.0,0.0
Cody, Kyle,621129,29.7,20.5,0.0,37.3,12.4,0.0,0.0,0.0
Hendriks, Liam,521230,70.3,0.0,0.0,22.2,0.5,7.0,0.0,0.0
Tepera, Ryan,572193,14.4,31.7,43.6,5.1,5.1,0.0,0.0,0.0
Reyes, Alex,621052,48.8,11.7,0.0,18.7,4.1,16.8,0.0,0.0
Font, Wilmer,521655,54.1,16.3,0.0,15.2,0.0,8.7,5.7,0.0
Pagán, Emilio,641941,62.3,0.3,36.3,0.0,0.0,1.1,0.0,0.0
Colomé, Alex,517008,28.4,0.0,71.6,0.0,0.0,0.0,0.0,0.0
LeBlanc, Wade,453281,4.9,19.2,27.9,0.0,35.1,12.9,0.0,0.0
Romo, Sergio,489265,11.8,12.4,0.0,64.6,11.3,0.0,0.0,0.0
Díaz, Jairo,545064,22.0,36.0,0.0,42.0,0.0,0.0,0.0,0.0
Widener, Taylor,642203,64.0,1.1,0.0,20.9,14.0,0.0,0.0,0.0
Hand, Brad,543272,34.2,13.8,0.0,50.7,0.0,1.4,0.0,0.0
Hembree, Heath,592390,57.6,0.0,0.0,33.3,0.0,9.1,0.0,0.0
Altavilla, Dan,656186,46.8,0.0,0.0,53.2,0.0,0.0,0.0,0.0
Paredes, Enoli,660600,68.2,0.0,0.0,26.0,1.9,3.9,0.0,0.0
Selman, Sam,572125,40.4,0.6,0.0,59.0,0.0,0.0,0.0,0.0
Jones, Nate,518858,1.4,52.1,0.0,46.3,0.3,0.0,0.0,0.0
Howard, Sam,607572,37.4,0.0,0.0,62.3,0.3,0.0,0.0,0.0
Iglesias, Raisel,628452,38.2,8.0,0.0,33.2,20.5,0.0,0.0,0.0
Woodford, Jake,663765,43.3,8.1,0.0,26.4,1.1,21.1,0.0,0.0
Cessa, Luis,570666,16.9,14.2,0.0,54.4,12.5,1.9,0.0,0.0
Brice, Austin,592169,35.7,25.9,0.0,0.0,1.1,37.3,0.0,0.0
Neverauskas, Dovydas,596720,46.9,0.0,19.3,0.0,0.0,33.8,0.0,0.0
Rogers, Taylor,573124,1.1,53.4,0.0,43.3,0.0,2.2,0.0,0.0
Phelps, David,475479,23.0,23.5,26.9,0.0,0.0,26.6,0.0,0.0
Boxberger, Brad,502202,55.2,0.0,0.0,17.6,26.6,0.6,0.0,0.0
Paxton, James,572020,56.7,0.0,14.9,0.0,12.6,15.7,0.0,0.0
Diekman, Jake,518617,55.6,3.7,0.0,40.4,0.3,0.0,0.0,0.0
Pressly, Ryan,519151,37.1,0.0,0.0,41.9,0.0,21.0,0.0,0.0
Hearn, Taylor,621368,60.2,0.3,0.0,28.1,11.4,0.0,0.0,0.0
Patiño, Luis,672715,64.8,0.0,0.0,17.5,17.8,0.0,0.0,0.0
Baragar, Caleb,670056,74.5,0.6,0.0,12.3,0.3,12.3,0.0,0.0
