"","...1","playerID","Player","votedBy","G","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","IBB","HBP","SH","SF","GIDP","PrimaryTeam","PrimaryLg","all_star","gold_glove","lou_gehrig_memorial_award","most_valuable_player","tsn_player_of_the_year","hutch_award","tsn_fireman_of_the_year","silver_slugger","hank_aaron_award","rookie_of_the_year","baseball_magazine_all_star","pitching_triple_crown","rolaids_relief_man_award","tsn_major_league_player_of_the_year","alcs_mvp","all_star_game_mvp","babe_ruth_award","tsn_pitcher_of_the_year","cy_young_award","nlcs_mvp","roberto_clemente_award","world_series_mvp","tsn_reliever_of_the_year","comeback_player_of_the_year","branch_rickey_award","reliever_of_the_year_award","triple_crown","tsn_guide_mvp","outstanding_dh_award","AVG","OBP","1B","SLG","Steroids","nice_guy_awards","Pos","war","all_stars"
"21",21,"arnovmo01","Morrie Arnovich","Veterans",590,2013,234,577,104,12,22,261,17,NA,185,139,NA,10,21,NA,61,"PHI","NL",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.287,0.346,439,0.383,0,0,"LF",NA,NA
"22",22,"aurilri01","Rich Aurilia","Veterans",1652,5721,745,1576,301,22,186,756,23,18,450,861,22,24,36,47,140,"SFN","NL",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.275,0.327,1067,0.433,0,0,"SS",18.2,1
"23",23,"ausmubr01","Brad Ausmus","Veterans",1971,6279,718,1579,270,34,80,607,102,53,634,1034,69,69,82,37,201,"HOU","NL",1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.251,0.321,1195,0.344,0,0,"C",16.5,1
"24",24,"avilaal01","Alex Avila","BBWAA",1052,3060,352,714,155,9,105,397,8,8,528,1068,24,19,11,20,83,"DET","AL",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.233,0.347,445,0.393,0,0,"C",17,1
"25",25,"avilabo01","Bobby Avila","Veterans",1300,4620,725,1296,185,35,80,467,78,52,561,399,NA,14,134,NA,121,"CLE","AL",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.281,0.351,996,0.388,0,0,"2B",28.4,3
"26",26,"aybarer01","Erick Aybar","BBWAA",1454,5175,643,1402,256,46,58,473,155,62,285,670,18,52,75,39,107,"LAA","AL",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.271,0.309,1042,0.372,0,0,"SS",22.7,1
"27",27,"azcuejo01","Joe Azcue","Veterans",909,2828,201,712,94,9,50,304,5,12,207,344,45,17,11,32,87,"CLE","AL",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.252,0.302,559,0.344,0,0,"C",8.6,1
"28",28,"baergca01","Carlos Baerga","Veterans",1630,5439,731,1583,279,17,134,774,59,24,291,580,41,73,26,66,158,"CLE","AL",3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.291,0.33,1153,0.423,0,0,"2B",19.6,3
"29",29,"baileed01","Ed Bailey","Veterans",1212,3581,432,915,128,15,155,540,17,18,545,577,NA,25,20,NA,81,"CIN","NL",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.256,0.356,617,0.429,0,0,"C",27.2,6
"30",30,"bakerdu01","Dusty Baker","Veterans",2039,7117,964,1981,320,23,242,1013,137,73,762,926,52,30,27,85,158,"ATL","NL",2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,0.278,0.346,1396,0.432,0,0,"LF",37,2
"31",31,"bandosa01","Sal Bando","Veterans",2019,7060,982,1790,289,38,242,1039,75,46,1031,923,69,75,65,57,149,"OAK","AL",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.254,0.349,1221,0.408,0,0,"3B",61.5,4
"32",32,"barfije01","Jesse Barfield","Veterans",1428,4759,715,1219,216,30,241,716,66,47,551,1234,49,34,16,34,100,"TOR","AL",1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.256,0.334,732,0.466,0,0,"RF",39.4,1
"33",33,"barremi01","Michael Barrett","Veterans",1054,3512,398,925,220,21,98,424,11,17,279,480,38,28,22,32,105,"MON","NL",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.263,0.318,586,0.422,0,0,"C",2.7,0
"34",34,"barryja01","Jack Barry","Veterans",1223,4146,532,1009,142,38,10,429,153,NA,396,NA,NA,76,284,NA,NA,"PHA","AL",2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.243,0.302,819,0.303,0,0,"SS",25.9,0
"35",35,"bartedi01","Dick Bartell","Veterans",2016,7629,1130,2165,442,71,79,710,109,NA,748,627,NA,97,269,NA,NA,"NY1","NL",3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.284,0.344,1573,0.391,0,0,"SS",41.7,2
"36",36,"bartlja01","Jason Bartlett","BBWAA",892,3141,435,849,156,26,31,286,123,37,275,526,8,48,31,26,61,"MIN","AL",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.27,0.333,636,0.366,0,0,"SS",18.4,1
"37",37,"basske01","Kevin Bass","Veterans",1571,4839,609,1308,248,40,118,611,151,73,357,668,63,37,28,30,112,"HOU","NL",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.27,0.322,902,0.411,0,0,"RF",14.7,1
"38",38,"bassljo01","Johnny Bassler","Veterans",811,2319,250,704,99,16,1,318,13,NA,437,81,NA,10,92,NA,NA,"DET","AL",NA,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.304,0.403,588,0.361,0,0,"C",NA,NA
"39",39,"batisto01","Tony Batista","Veterans",1309,4568,625,1146,226,17,221,718,47,26,287,790,27,47,10,47,109,"BAL","AL",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.251,0.298,682,0.453,0,0,"3B",13.8,2
"40",40,"batteea01","Earl Battey","Veterans",1141,3586,393,969,150,17,104,449,13,12,421,470,42,28,39,30,127,"MIN","AL",5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.27,0.346,698,0.409,0,0,"C",18.8,5
"41",41,"bauerha01","Hank Bauer","Veterans",1544,5145,833,1424,229,57,164,703,50,33,521,638,NA,34,51,NA,95,"NYA","AL",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.277,0.344,974,0.439,0,0,"RF",27.2,3
"42",42,"bautijo02","Jose Bautista","BBWAA",1798,6051,1022,1496,312,17,344,975,70,32,1032,1394,58,80,23,58,170,"TOR","AL",6,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.247,0.36,823,0.475,0,0,"RF",36.7,6
"43",43,"bayja01","Jason Bay","BBWAA",1278,4505,737,1200,240,30,222,754,95,17,636,1216,38,56,7,54,84,"PIT","NL",3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.266,0.36,708,0.481,0,0,"LF",24.8,3
"44",44,"baylodo01","Don Baylor","Veterans",2292,8198,1236,2135,366,28,338,1276,285,120,805,1069,91,267,16,115,196,"BAL","AL",1,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,0.26,0.341,1403,0.436,0,1,"DH",28.5,1
"45",45,"beckegl01","Glenn Beckert","Veterans",1320,5208,685,1473,196,31,22,360,49,25,260,243,3,19,58,27,114,"CHN","NL",4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.283,0.314,1224,0.345,0,0,"2B",15.6,4
"46",46,"belanma01","Mark Belanger","Veterans",2016,5784,676,1316,175,33,20,389,167,75,576,839,22,42,155,45,83,"BAL","AL",1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.228,0.293,1088,0.28,0,0,"SS",41,1
"47",47,"bellbu01","Buddy Bell","Veterans",2405,8995,1151,2514,425,56,201,1106,55,79,836,776,84,38,60,80,255,"TEX","AL",5,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.279,0.338,1832,0.406,0,1,"3B",66.3,5
"48",48,"belleal01","Albert Belle","Veterans",1539,5853,974,1726,389,21,381,1239,88,41,683,961,91,55,4,78,193,"CLE","AL",5,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.295,0.369,935,0.564,0,0,"LF",40.1,5
"49",49,"bellge02","George Bell","Veterans",1587,6123,814,1702,308,34,265,1002,67,36,331,771,53,49,0,83,165,"TOR","AL",3,0,0,1,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.278,0.316,1095,0.469,0,0,"LF",20,3
"50",50,"bellgu01","Gus Bell","Veterans",1741,6478,865,1823,311,66,206,942,30,NA,470,636,NA,27,45,NA,109,"CIN","NL",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.281,0.33,1240,0.445,0,0,"CF",15.7,4
"51",51,"belliro01","Ronnie Belliard","Veterans",1484,5045,685,1377,328,24,114,601,43,28,488,797,16,24,47,37,133,"MIL","NL",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.273,0.335,911,0.415,0,0,"2B",20.7,1
"52",52,"bellja01","Jay Bell","Veterans",2063,7398,1123,1963,394,67,195,860,91,60,853,1443,25,57,159,58,165,"PIT","NL",2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.265,0.337,1307,0.416,0,0,"SS",37.1,2
"53",53,"beltbr01","Brandon Belt","BBWAA",1310,4390,628,1146,267,36,175,584,47,21,617,1205,35,46,1,25,59,"SFN","NL",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.261,0.356,668,0.458,0,0,"1B",27.6,1
"54",54,"beltrad01","Adrian Beltre","BBWAA",2933,11068,1524,3166,636,38,477,1707,121,42,848,1732,112,97,14,103,279,"TEX","AL",4,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.286,0.339,2015,0.48,0,0,"3B",93.5,4
"55",55,"beltrca01","Carlos Beltran","BBWAA",2586,9768,1582,2725,565,78,435,1587,312,49,1084,1795,104,51,18,110,203,"KCA","AL",9,3,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,0.279,0.35,1647,0.486,0,1,"CF",70.1,9
"56",56,"benedbr01","Bruce Benedict","Veterans",982,2878,214,696,98,6,18,260,12,20,328,251,52,13,49,21,76,"ATL","NL",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.242,0.315,574,0.299,0,0,"C",7.3,2
"57",57,"beniqju01","Juan Beniquez","Veterans",1500,4651,610,1274,190,30,79,476,104,76,349,551,11,31,87,32,145,"CAL","AL",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.274,0.321,975,0.379,0,0,"CF",9.9,0
"58",58,"bergewa01","Wally Berger","Veterans",1350,5163,809,1550,299,59,242,898,36,NA,435,694,NA,38,27,NA,NA,"BSN","NL",6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.3,0.357,950,0.522,0,0,"CF",42.5,4
"59",59,"berkmla01","Lance Berkman","BBWAA",1879,6491,1146,1905,422,30,366,1234,86,48,1201,1300,160,66,1,54,147,"HOU","NL",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,0.293,0.406,1087,0.537,0,0,"1B",51.9,6
"60",60,"berryke01","Ken Berry","Veterans",1383,4136,422,1053,150,23,58,343,45,46,298,569,31,30,64,17,108,"CHA","AL",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.255,0.304,822,0.344,0,0,"CF",15.2,1
"61",61,"bicheda01","Dante Bichette","Veterans",1704,6381,934,1906,401,27,274,1141,152,73,355,1078,32,41,5,73,176,"COL","NL",4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.299,0.336,1204,0.499,0,0,"RF",5.7,4
"62",62,"bigbeca01","Carson Bigbee","Veterans",1147,4192,629,1205,139,75,17,324,182,NA,344,161,NA,21,109,NA,NA,"PIT","NL",2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.287,0.336,974,0.369,0,0,"LF",11.7,0
"63",63,"blackch02","Charlie Blackmon","BBWAA",1404,5357,880,1590,286,58,207,709,138,56,403,1001,33,93,26,34,63,"COL","NL",4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.297,0.353,1039,0.488,0,0,"CF",19.3,4
"64",64,"blairpa01","Paul Blair","Veterans",1947,6042,776,1513,282,55,134,620,171,93,449,877,23,23,108,51,126,"BAL","AL",2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.25,0.297,1042,0.382,0,0,"CF",37.7,2
"65",65,"blasido01","Don Blasingame","Veterans",1444,5296,731,1366,178,62,21,308,105,60,552,462,15,15,62,13,43,"SLN","NL",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.258,0.326,1105,0.327,0,0,"2B",18.3,1
"66",66,"blausje01","Jeff Blauser","Veterans",1407,4522,691,1187,217,33,122,513,65,41,569,937,22,91,48,41,77,"ATL","NL",2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.262,0.35,815,0.406,0,0,"SS",20.9,2
"67",67,"bluegos01","Ossie Bluege","Veterans",1867,6440,883,1751,276,67,43,848,140,87,723,515,NA,71,218,NA,NA,"WS1","AL",3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.272,0.342,1365,0.356,0,0,"3B",28.5,1
"68",68,"bochtbr01","Bruce Bochte","Veterans",1538,5233,643,1478,250,21,100,658,43,41,653,662,65,13,44,51,156,"SEA","AL",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.282,0.358,1107,0.396,0,0,"1B",19.5,1
"69",69,"bogaexa01","Xander Bogaerts","BBWAA",1264,4834,752,1410,308,15,156,683,74,17,461,987,20,46,5,43,114,"BOS","AL",4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.292,0.356,931,0.458,0,0,"SS",34.9,4
"70",70,"bollifr01","Frank Bolling","Veterans",1540,5562,692,1415,221,40,106,556,40,38,462,558,NA,30,97,38,114,"DET","AL",4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.254,0.308,1048,0.366,0,0,"2B",16.9,4
"71",71,"bonilbo01","Bobby Bonilla","Veterans",2113,7213,1084,2010,408,61,287,1173,45,57,912,1204,128,28,5,97,169,"PIT","NL",6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.279,0.357,1254,0.472,0,0,"3B",30.2,6
"72",72,"booneaa01","Aaron Boone","Veterans",1152,3871,519,1017,216,17,126,555,107,30,303,707,20,80,39,36,74,"CIN","NL",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.263,0.323,658,0.425,0,0,"3B",13.6,1
"73",73,"boonebo01","Bob Boone","Veterans",2264,7245,679,1838,303,26,105,826,38,50,663,608,90,20,142,78,191,"PHI","NL",4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.254,0.309,1404,0.346,0,0,"C",27.4,4
"74",74,"boonebr01","Bret Boone","Veterans",1780,6683,927,1775,366,28,252,1021,94,53,552,1295,32,69,55,73,168,"SEA","AL",3,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.266,0.322,1129,0.442,0,0,"2B",22.8,3
"75",75,"boonera01","Ray Boone","Veterans",1373,4589,645,1260,162,46,151,737,21,19,608,463,NA,27,45,NA,133,"CLE","AL",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.275,0.36,901,0.429,0,0,"3B",25.8,2
"76",76,"bordepa01","Pat Borders","Veterans",1099,3282,289,831,168,12,69,346,9,14,155,557,13,12,31,19,94,"TOR","AL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,0.253,0.285,582,0.375,0,0,"C",3.6,0
"77",77,"bordimi01","Mike Bordick","Veterans",1720,5770,676,1500,257,30,91,626,96,58,500,800,10,63,97,54,145,"OAK","AL",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.26,0.318,1122,0.362,0,0,"SS",26.8,1
"78",78,"bournmi01","Michael Bourn","BBWAA",1361,4784,678,1272,191,69,36,361,341,94,445,1124,13,19,52,23,34,"HOU","NL",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.266,0.326,976,0.357,0,0,"CF",22.8,2
"79",79,"bowala01","Larry Bowa","Veterans",2247,8418,987,2191,262,99,15,525,318,105,474,569,45,17,151,43,121,"PHI","NL",5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.26,0.295,1815,0.32,0,0,"SS",22.8,5
"80",80,"boyercl02","Clete Boyer","Veterans",1725,5780,645,1396,200,33,162,654,41,28,470,931,74,25,37,53,136,"NYA","AL",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.242,0.297,1001,0.372,0,0,"3B",27.6,0
"81",81,"bradlja02","Jackie Bradley","BBWAA",1139,3630,504,825,199,27,108,443,69,18,356,1037,17,64,7,22,61,"BOS","AL",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.227,0.305,491,0.386,0,0,"CF",17.4,1
"82",82,"bradlmi01","Milton Bradley","Veterans",1042,3605,541,976,202,17,125,481,88,40,496,817,38,44,14,19,91,"CLE","AL",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.271,0.363,632,0.44,0,0,"CF",16.9,1
"83",83,"brandja01","Jackie Brandt","Veterans",1221,3895,540,1020,175,37,112,485,45,30,351,574,20,12,31,29,75,"BAL","NL",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.262,0.32,696,0.412,0,0,"CF",13.1,2
